symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
AAPL,AAPL,Apple Inc.,애플,소비자 전자기기,아이폰·맥·서비스 생태계,267.26,-1.4,54.8,285.92,194.68,-6.5,0.29,33.9,297.71,11.4,Uptrend,4,262.1,1.97,True,265.36,0.72,True,245.22,8.99,False,53.0,2
GOOG,GOOG,Alphabet Inc. (C),알파벳(구글) C,인터넷·광고,구글 검색·YouTube·GCP,348.99,1.95,72.7,348.99,152.27,0.0,0.38,32.3,363.36,4.1,Uptrend,4,312.3,11.75,False,311.99,11.86,False,259.9,34.28,False,6.0,0
MSFT,MSFT,Microsoft Corp.,마이크로소프트,소프트웨어·클라우드,윈도우·Azure·Office 365,423.92,-0.16,63.0,539.83,356.77,-21.5,0.31,26.5,576.42,36.0,Strong Downtrend,1,397.0,6.78,False,439.14,-3.47,False,468.83,-9.58,False,50.0,0
TSLA,TSLA,Tesla Inc.,테슬라,전기차·에너지,전기차·에너지 저장·자율주행,366.39,-2.63,44.7,489.88,275.35,-25.2,0.31,336.0,418.38,14.2,Strong Downtrend,1,391.33,-6.37,False,416.74,-12.08,False,388.9,-5.79,False,21.0,0
GOOGL,GOOGL,Alphabet Inc. (A),알파벳(구글) A,인터넷·광고,구글 검색·YouTube·GCP,350.99,1.91,72.0,350.99,150.86,0.0,0.43,32.5,377.29,7.5,Uptrend,4,313.1,12.1,False,312.07,12.47,False,259.51,35.25,False,9.0,0
NVDA,NVDA,NVIDIA Corp.,엔비디아,반도체·AI,GPU·데이터센터·AI 가속기,209.47,0.58,72.3,209.47,108.7,0.0,0.39,42.8,268.61,28.2,Uptrend,4,185.29,13.05,False,185.36,13.01,False,176.61,18.61,False,29.0,0
AMZN,AMZN,Amazon.com Inc.,아마존,이커머스·클라우드,온라인 쇼핑·AWS 클라우드,262.88,-0.42,78.6,263.99,184.42,-0.4,0.35,36.6,283.79,8.0,Neutral,3,220.03,19.47,False,227.31,15.65,False,224.18,17.26,False,3.0,0
META,META,Meta Platforms Inc.,메타 플랫폼스,소셜 미디어,페이스북·인스타그램·왓츠앱,682.25,1.07,63.2,788.15,525.72,-13.4,0.26,29.0,855.11,25.3,Strong Downtrend,1,638.17,6.91,False,639.59,6.67,False,679.42,0.42,True,54.0,1
AVGO,AVGO,Broadcom Inc.,브로드컴,반도체,네트워크·스토리지·AI 맞춤칩,415.81,-1.64,72.6,422.76,189.63,-1.6,0.23,81.2,475.49,14.4,Uptrend,4,340.35,22.17,False,346.79,19.9,False,321.9,29.17,False,10.0,0
COST,COST,Costco Wholesale Corp.,코스트코,유통·소매,창고형 멤버십 할인마트,1011.69,0.05,56.3,1052.46,848.84,-3.9,0.17,52.7,1072.16,6.0,Uptrend,4,994.24,1.76,True,950.75,6.41,False,957.01,5.71,False,38.0,1
NFLX,NFLX,Netflix Inc.,넷플릭스,스트리밍·미디어,글로벌 OTT 동영상 스트리밍,92.82,0.41,41.8,133.91,75.86,-30.7,0.2,29.9,114.38,23.2,Downtrend,2,91.38,1.58,True,94.74,-2.03,False,107.91,-13.98,False,39.0,1
AMD,AMD,Advanced Micro Devices,고급 마이크로 디바이스,반도체,CPU·GPU·AI 가속기,335.41,-3.57,80.7,347.81,96.06,-3.6,0.6,128.5,295.76,-11.8,Uptrend,4,223.06,50.37,False,224.35,49.5,False,193.69,73.17,False,-6.0,0
ASML,ASML,ASML Holding NV,ASML 홀딩 NV,반도체 장비,EUV 노광 장비 독점 공급,1425.5,-2.21,51.0,1526.51,662.37,-6.6,0.33,47.0,1664.02,16.7,Strong Uptrend,5,1403.55,1.56,True,1270.24,12.22,False,1046.09,36.27,False,61.0,1
